Invocation Param,Invocation Value,task,tool,time,ram
skip_validator,True,6,BIDS-example,,
,,6,BIDS-example,0.0034200000000000003,29.31640625
,,6,BIDS-example,0.0127280997467041,34.234375
,,6,BIDS-example,0.5178879546356201,47.77734375
,,6,BIDS-example,1.0218890952301023,47.796875
,,6,BIDS-example,1.526441936416626,48.2734375
,,6,BIDS-example,2.031361942214966,48.671875
,,6,BIDS-example,2.5361820506286623,48.6796875
,,6,BIDS-example,3.0419629859161383,48.90234375
,,6,BIDS-example,3.54729903213501,48.95703125
,,6,BIDS-example,4.0523899840545665,48.9609375
,,6,BIDS-example,4.557060842437744,48.96484375
,,6,BIDS-example,5.061532859725952,48.97265625
,,6,BIDS-example,5.567451839370729,48.9765625
,,6,BIDS-example,6.072325830383301,49.0546875
,,6,BIDS-example,6.578327064437866,49.0546875
,,6,BIDS-example,7.082476978225706,49.0625
,,6,BIDS-example,7.5888677882385265,49.0703125
,,6,BIDS-example,8.093657855911255,49.07421875
,,6,BIDS-example,8.598551158828737,49.08203125
,,6,BIDS-example,9.102372770233154,49.08203125
,,6,BIDS-example,9.607409839553831,49.09375
,,6,BIDS-example,10.111979131622316,49.09765625
,,6,BIDS-example,10.616985921783447,49.09765625
,,6,BIDS-example,11.121075038833618,35.2890625
,,6,BIDS-example,11.589353923721314,35.30078125
bids_dir,/data/ds114/,7,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,7,BIDS-example,,
analysis_level,participant,7,BIDS-example,,
participant_label,['08'],7,BIDS-example,,
skip_validator,True,7,BIDS-example,,
,,7,BIDS-example,0.004083,29.5546875
,,7,BIDS-example,0.01582010823059082,34.5
,,7,BIDS-example,0.522701106842041,48.42578125
,,7,BIDS-example,1.0288341863708497,48.4375
,,7,BIDS-example,1.5336929185943604,48.74609375
,,7,BIDS-example,2.0396002157287603,48.95703125
,,7,BIDS-example,2.5438862665252686,48.96875
,,7,BIDS-example,3.0486121996002202,48.984375
,,7,BIDS-example,3.5528100355224614,49.01171875
,,7,BIDS-example,4.057694040115356,49.015625
,,7,BIDS-example,4.562179170425415,49.02734375
,,7,BIDS-example,5.066057048614502,49.03125
,,7,BIDS-example,5.570570073898315,49.03515625
,,7,BIDS-example,6.075257144744872,49.03515625
,,7,BIDS-example,6.581952176864624,49.04296875
,,7,BIDS-example,7.087061010177612,49.046875
,,7,BIDS-example,7.591610275085449,49.046875
,,7,BIDS-example,8.09599407749939,49.046875
,,7,BIDS-example,8.599652133758545,49.05078125
,,7,BIDS-example,9.104404054458618,49.05078125
,,7,BIDS-example,9.609890065963745,49.05078125
,,7,BIDS-example,10.11459406452942,49.05078125
,,7,BIDS-example,10.61939414578247,49.0546875
,,7,BIDS-example,11.1237700803833,49.0703125
,,7,BIDS-example,11.628858171279907,49.07421875
,,7,BIDS-example,12.133889041717527,49.08203125
,,7,BIDS-example,12.64040907460022,49.08203125
,,7,BIDS-example,13.144638143356323,49.0859375
,,7,BIDS-example,13.648413978393554,49.0859375
,,7,BIDS-example,14.154013953979492,49.08984375
,,7,BIDS-example,14.659477077301025,49.08984375
,,7,BIDS-example,15.164578042800903,49.08984375
,,7,BIDS-example,15.668618045623779,49.08984375
,,7,BIDS-example,16.172692142303468,49.08984375
,,7,BIDS-example,16.677449069793706,49.09765625
,,7,BIDS-example,17.182539068038942,35.33203125
,,7,BIDS-example,17.33424910145569,35.34375
bids_dir,/data/ds114/,8,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,8,BIDS-example,,
analysis_level,participant,8,BIDS-example,,
participant_label,['09'],8,BIDS-example,,
skip_validator,True,8,BIDS-example,,
,,8,BIDS-example,0.0035259999999999996,29.53125
,,8,BIDS-example,0.013088969207763671,34.359375
,,8,BIDS-example,0.5185408868560791,48.3515625
,,8,BIDS-example,1.0227740087280273,48.42578125
,,8,BIDS-example,1.5275600232849118,48.4296875
,,8,BIDS-example,2.0327651777038573,48.671875
,,8,BIDS-example,2.5405669488677978,48.828125
,,8,BIDS-example,3.0454490461120605,49.03515625
,,8,BIDS-example,3.5546698846588134,49.0234375
,,8,BIDS-example,4.060015944458009,48.93359375
,,8,BIDS-example,4.564657954193115,48.953125
,,8,BIDS-example,5.0716870107421865,48.96875
,,8,BIDS-example,5.5763728894958495,48.96875
,,8,BIDS-example,6.080975083328247,48.96875
,,8,BIDS-example,6.586833981491089,48.96875
,,8,BIDS-example,7.091537026382446,49.0
,,8,BIDS-example,7.596751002288817,49.00390625
,,8,BIDS-example,8.102757958389283,49.01171875
,,8,BIDS-example,8.607436923004151,49.015625
,,8,BIDS-example,9.114035157180787,49.015625
,,8,BIDS-example,9.619157103515628,49.01953125
,,8,BIDS-example,10.125486878372193,49.0234375
,,8,BIDS-example,10.630396155334473,49.02734375
,,8,BIDS-example,11.138207224823,49.03515625
,,8,BIDS-example,11.645713118530276,49.046875
,,8,BIDS-example,12.150257138229373,49.0546875
,,8,BIDS-example,12.655551222778321,49.0546875
,,8,BIDS-example,13.159594086624146,49.05859375
,,8,BIDS-example,13.666596917129517,49.0625
